dataset	coef_display	ratio_display
Xponent/NHSN	-5.2 (-7.7 to -2.8)*	-0.50 (-0.71 to -0.28)*
ECDC	1.8 (-10. to 14.)	0.39 (-2.2 to 3.0)
ECDC	-0.88 (-13. to 11.)	-0.25 (-2.8 to 2.3)
ECDC	-1.3 (-13. to 11.)	-0.18 (-2.8 to 2.4)
