dataset	coef_display	ratio_display
Xponent/NHSN	-0.89 (-1.5 to -0.24)*	-0.42 (-0.71 to -0.12)*
ECDC	0.21 (-1.8 to 2.2)	0.54 (-3.6 to 4.7)
ECDC	-0.27 (-2.2 to 1.7)	-0.57 (-4.7 to 3.6)
ECDC	-0.033 (-2.0 to 1.9)	-0.026 (-4.2 to 4.1)
